Date,Close/Last,Volume,Open,High,Low
01/12/2021,39.447,2295230,39.89,39.9427,38.29
01/11/2021,39.945,2030600,39.782,40.87,39.5035
01/08/2021,41.017,3202630,40.87,41.328,39.6645
01/07/2021,40.206,3709380,38.34,40.47,38.2909
01/06/2021,37.223,6426700,37.601,39.50,36.9525
01/05/2021,39.384,2531050,38.195,39.4689,38.157
01/04/2021,38.607,4323120,41.144,41.156,37.00
12/31/2020,40.653,1785980,40.436,40.83,39.56
12/30/2020,40.349,1994140,40.87,41.1224,40.201
12/29/2020,40.432,3094310,41.716,41.854,40.25
12/28/2020,41.012,2408400,40.724,41.2505,40.282
12/24/2020,39.70,1251730,39.058,39.952,39.058
12/23/2020,38.83,1740000,40.012,40.012,38.743
12/22/2020,39.804,2475470,39.50,40.345,38.9765
12/21/2020,38.763,3684800,37.267,38.85,36.184
12/18/2020,38.721,2800180,39.315,39.315,37.953
12/17/2020,39.12,2517750,39.00,39.392,38.581
12/16/2020,38.186,2381660,37.627,38.60,37.2331
12/15/2020,37.415,2438290,36.857,37.415,36.125
12/14/2020,35.684,3728640,35.709,36.60,35.579
12/11/2020,35.314,2281110,34.884,35.314,34.085
12/10/2020,35.494,3048190,34.631,36.0015,34.448
12/09/2020,35.491,3692860,37.708,37.9722,35.20
12/08/2020,37.769,1958500,37.26,38.095,36.79
12/07/2020,37.406,1684720,37.066,37.6633,36.94
12/04/2020,37.07,2113100,36.164,37.07,35.875
